[T=1785000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1795000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1805000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1815000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1825000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1835000] PC=00000124 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1845000] PC=00000128 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1855000] PC=0000012c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1865000] PC=00000130 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1875000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1885000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1895000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1905000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1915000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1925000] PC=00000134 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1935000] PC=00000138 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1945000] PC=0000013c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1955000] PC=00000140 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=1965000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1975000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1985000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=1995000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=2005000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=2015000] PC=00000144 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=2025000] PC=00000148 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=2035000] PC=0000014c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=2045000] PC=00000150 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=2055000] PC=00000154 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=2065000] PC=00000154 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
  PASS  lw x4=42              x4                    = 0x0000002a
  PASS  add x5=42             x5                    = 0x0000002a
  FAIL  lw x6=99              x6   expected=0x00000063  got=0x00000000
  FAIL  sub x7=57             x7   expected=0x00000039  got=0x00000000
  PASS  sw x2->mem[100]       dcache[0x00000064] = 0x0000002a
  FAIL  sw x3->mem[104]       dcache[0x00000068]  expected=0x00000063  got=0x00000000

========== SUMMARY ==========
PASS: 3   FAIL: 3   TOTAL: 6
SOME TESTS FAILED -- check pipeline/forwarding/memory
core_riscv_tb.sv:276: $finish called at 2065000 (1ps)
