[T=465000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=475000] PC=00000030 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=485000] PC=00000034 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=495000] PC=00000038 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=505000] PC=0000003c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=515000] PC=00000040 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=525000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=535000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=545000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=555000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=565000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=1
[T=575000] PC=00000044 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=585000] PC=00000048 INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
[T=595000] PC=0000004c INSTR=00000013 | mem_rd=x0 mem_rw=1 mem_mw=0 | dmem_wr=0 | mem_stall=0 fetch_stall=0
